Toss Fair Biased
106 0.509434 0.669811
107 0.504673 0.672897
108 0.500000 0.675926
109 0.504587 0.669725
110 0.509091 0.672727
111 0.513514 0.666667
112 0.517857 0.660714
113 0.522124 0.663717
114 0.526316 0.666667
115 0.521739 0.669565
116 0.525862 0.663793
117 0.521368 0.666667
118 0.516949 0.669492
119 0.512605 0.672269
120 0.516667 0.666667
121 0.512397 0.669421
122 0.516393 0.672131
123 0.512195 0.666667
124 0.508065 0.661290
125 0.504000 0.664000
126 0.507937 0.658730
127 0.503937 0.653543
128 0.500000 0.656250
129 0.503876 0.651163
130 0.507692 0.653846
131 0.503817 0.656489
132 0.507576 0.659091
133 0.503759 0.661654
134 0.507463 0.664179
135 0.503704 0.666667
136 0.507353 0.661765
137 0.503650 0.664234
138 0.500000 0.659420
139 0.496403 0.654676
140 0.500000 0.657143
141 0.503546 0.659574
142 0.500000 0.654930
143 0.503497 0.657343
144 0.506944 0.652778
145 0.510345 0.655172
146 0.513699 0.650685
147 0.510204 0.653061
148 0.506757 0.655405
149 0.510067 0.651007
150 0.513333 0.653333
151 0.509934 0.655629
152 0.506579 0.657895
153 0.503268 0.660131
154 0.506494 0.662338
155 0.509677 0.664516
156 0.512821 0.660256
157 0.509554 0.662420
158 0.506329 0.664557
159 0.503145 0.660377
160 0.506250 0.656250
161 0.503106 0.658385
162 0.506173 0.660494
163 0.509202 0.662577
164 0.512195 0.664634
165 0.509091 0.660606
166 0.512048 0.662651
167 0.508982 0.664671
168 0.505952 0.666667
169 0.502959 0.668639
170 0.500000 0.670588
171 0.502924 0.672515
172 0.500000 0.668605
173 0.497110 0.664740
174 0.494253 0.660920
175 0.491429 0.657143
176 0.494318 0.653409
177 0.491525 0.655367
178 0.494382 0.657303
179 0.491620 0.659218
180 0.488889 0.661111
181 0.486188 0.662983
182 0.489011 0.664835
183 0.491803 0.661202
184 0.494565 0.663043
185 0.491892 0.664865
186 0.494624 0.666667
187 0.497326 0.668449
188 0.494681 0.670213
189 0.492063 0.671958
190 0.489474 0.668421
191 0.486911 0.664921
192 0.484375 0.661458
193 0.481865 0.663212
194 0.479381 0.664948
195 0.482051 0.661538
196 0.484694 0.663265
197 0.487310 0.659898
198 0.489899 0.661616
199 0.492462 0.663317
200 0.490000 0.665000
201 0.487562 0.666667
202 0.490099 0.668317
203 0.487685 0.665025
204 0.490196 0.666667
205 0.487805 0.668293
206 0.485437 0.665049
207 0.483092 0.666667
208 0.480769 0.668269
209 0.483254 0.669856
210 0.480952 0.671429
211 0.483412 0.672986
212 0.485849 0.674528
213 0.488263 0.676056
214 0.490654 0.677570
215 0.488372 0.679070
216 0.490741 0.675926
217 0.488479 0.672811
218 0.490826 0.669725
219 0.488584 0.666667
220 0.486364 0.668182
221 0.488688 0.669683
222 0.490991 0.671171
223 0.493274 0.672646
224 0.495536 0.674107
225 0.497778 0.671111
226 0.500000 0.672566
227 0.502203 0.674009
228 0.504386 0.675439
229 0.506550 0.672489
230 0.504348 0.673913
231 0.502165 0.670996
232 0.500000 0.672414
233 0.497854 0.669528
234 0.495726 0.670940
235 0.493617 0.672340
236 0.491525 0.669492
237 0.489451 0.670886
238 0.491597 0.672269
239 0.489540 0.673640
240 0.491667 0.675000
241 0.489627 0.672199
242 0.487603 0.669421
243 0.489712 0.666667
244 0.491803 0.668033
245 0.489796 0.669388
246 0.491870 0.670732
247 0.489879 0.672065
248 0.487903 0.673387
249 0.489960 0.674699
250 0.488000 0.676000
251 0.490040 0.673307
252 0.492063 0.674603
253 0.490119 0.675889
254 0.488189 0.673228
255 0.490196 0.670588
256 0.492188 0.667969
257 0.494163 0.669261
258 0.496124 0.666667
259 0.494208 0.667954
260 0.496154 0.669231
261 0.498084 0.670498
262 0.496183 0.667939
263 0.494297 0.669202
264 0.496212 0.666667
265 0.494340 0.667925
266 0.496241 0.665414
267 0.498127 0.666667
268 0.500000 0.664179
269 0.501859 0.665428
270 0.503704 0.666667
271 0.505535 0.667897
272 0.503676 0.669118
273 0.501832 0.670330
274 0.500000 0.671533
275 0.501818 0.669091
276 0.503623 0.666667
277 0.501805 0.667870
278 0.503597 0.669065
279 0.505376 0.666667
280 0.507143 0.667857
281 0.505338 0.669039
282 0.507092 0.670213
283 0.505300 0.667845
284 0.507042 0.669014
285 0.508772 0.670175
286 0.510490 0.671329
287 0.512195 0.672474
288 0.510417 0.673611
289 0.512111 0.674740
290 0.510345 0.675862
291 0.508591 0.676976
292 0.510274 0.678082
293 0.508532 0.679181
294 0.506803 0.680272
295 0.505085 0.681356
296 0.506757 0.682432
297 0.508418 0.680135
298 0.506711 0.681208
299 0.505017 0.678930
300 0.506667 0.676667
301 0.508306 0.677741
302 0.506623 0.678808
303 0.508251 0.679868
304 0.509868 0.680921
305 0.508197 0.681967
306 0.506536 0.683007
307 0.508143 0.680782
308 0.509740 0.678571
309 0.508091 0.679612
310 0.506452 0.680645
311 0.504823 0.678457
312 0.503205 0.679487
313 0.504792 0.677316
314 0.506369 0.678344
315 0.507937 0.679365
316 0.509494 0.677215
317 0.507886 0.678233
318 0.506289 0.676101
319 0.507837 0.677116
320 0.509375 0.678125
321 0.507788 0.679128
322 0.506211 0.680124
323 0.507740 0.681115
324 0.509259 0.682099
325 0.507692 0.683077
326 0.509202 0.684049
327 0.510703 0.681957
328 0.509146 0.679878
329 0.510638 0.680851
330 0.509091 0.681818
331 0.510574 0.679758
332 0.509036 0.680723
333 0.507508 0.681682
334 0.508982 0.682635
335 0.507463 0.680597
336 0.505952 0.678571
337 0.507418 0.679525
338 0.505917 0.680473
339 0.507375 0.681416
340 0.505882 0.682353
341 0.507331 0.680352
342 0.508772 0.681287
343 0.510204 0.682216
344 0.511628 0.683140
345 0.510145 0.684058
346 0.511561 0.682081
347 0.510086 0.682997
348 0.508621 0.683908
349 0.507163 0.681948
350 0.508571 0.682857
351 0.509972 0.683761
352 0.511364 0.684659
353 0.509915 0.682720
354 0.508475 0.683616
355 0.507042 0.684507
356 0.508427 0.682584
357 0.509804 0.680672
358 0.511173 0.681564
359 0.512535 0.682451
360 0.513889 0.680556
361 0.512465 0.681440
362 0.511050 0.682320
363 0.509642 0.680441
364 0.510989 0.681319
365 0.512329 0.682192
366 0.510929 0.680328
367 0.512262 0.681199
368 0.513587 0.682065
369 0.512195 0.682927
370 0.510811 0.681081
371 0.512129 0.681941
372 0.513441 0.680108
373 0.514745 0.678284
374 0.513369 0.679144
375 0.512000 0.677333
376 0.510638 0.678191
377 0.509284 0.676393
378 0.507937 0.674603
379 0.509235 0.675462
380 0.507895 0.673684
381 0.509186 0.674541
382 0.507853 0.672775
383 0.509138 0.673629
384 0.507813 0.674479
385 0.506494 0.675325
386 0.507772 0.676166
387 0.506460 0.674419
388 0.505155 0.675258
389 0.503856 0.676093
390 0.502564 0.676923
391 0.503836 0.677749
392 0.505102 0.678571
393 0.506361 0.679389
394 0.507614 0.680203
395 0.508861 0.681013
396 0.507576 0.681818
397 0.508816 0.682620
398 0.510050 0.680905
399 0.511278 0.681704
400 0.510000 0.682500
401 0.508728 0.683292
402 0.507463 0.684080
403 0.508685 0.684864
404 0.509901 0.685644
405 0.508642 0.683951
406 0.509852 0.684729
407 0.508600 0.683047
408 0.509804 0.681373
409 0.508557 0.682152
410 0.509756 0.682927
411 0.508516 0.683698
412 0.507282 0.684466
413 0.506053 0.685230
414 0.507246 0.685990
415 0.508434 0.686747
416 0.507212 0.687500
417 0.505995 0.688249
418 0.507177 0.688995
419 0.508353 0.687351
420 0.507143 0.685714
421 0.508314 0.684086
422 0.509479 0.682464
423 0.508274 0.683215
424 0.507075 0.683962
425 0.508235 0.684706
426 0.507042 0.685446
427 0.505855 0.686183
428 0.507009 0.686916
429 0.505828 0.685315
430 0.504651 0.686047
431 0.503480 0.686775
432 0.502315 0.687500
433 0.501155 0.688222
434 0.500000 0.686636
435 0.501149 0.685057
436 0.502294 0.685780
437 0.501144 0.684211
438 0.500000 0.684932
439 0.498861 0.683371
440 0.497727 0.684091
441 0.496599 0.684807
442 0.495475 0.683258
443 0.494357 0.683973
444 0.493243 0.684685
445 0.494382 0.683146
446 0.495516 0.681614
447 0.496644 0.680089
448 0.495536 0.680804
449 0.494432 0.679287
450 0.493333 0.680000
451 0.494457 0.680710
452 0.495575 0.679204
453 0.494481 0.677704
454 0.493392 0.678414
455 0.492308 0.679121
456 0.491228 0.679825
457 0.490153 0.678337
458 0.489083 0.679039
459 0.490196 0.677560
460 0.489130 0.678261
461 0.488069 0.678959
462 0.489177 0.677489
463 0.488121 0.676026
464 0.489224 0.674569
465 0.488172 0.675269
466 0.489270 0.673820
467 0.488223 0.674518
468 0.487179 0.673077
469 0.486141 0.671642
470 0.487234 0.672340
471 0.486200 0.670913
472 0.485169 0.671610
473 0.484144 0.672304
474 0.485232 0.672996
475 0.484211 0.673684
476 0.483193 0.672269
477 0.482180 0.670860
478 0.481172 0.671548
479 0.480167 0.672234
480 0.479167 0.670833
481 0.480249 0.671518
482 0.481328 0.672199
483 0.482402 0.670807
484 0.481405 0.669421
485 0.482474 0.670103
486 0.483539 0.670782
487 0.484600 0.671458
488 0.483607 0.670082
489 0.484663 0.670757
490 0.483673 0.669388
491 0.484725 0.670061
492 0.485772 0.670732
493 0.484787 0.669371
494 0.483806 0.668016
495 0.482828 0.668687
496 0.483871 0.669355
497 0.482897 0.668008
498 0.483936 0.668675
499 0.482966 0.669339
500 0.484000 0.670000
501 0.485030 0.668663
502 0.484064 0.669323
503 0.483101 0.667992
504 0.484127 0.668651
505 0.485149 0.669307
506 0.486166 0.667984
507 0.485207 0.668639
508 0.486220 0.669291
509 0.487230 0.669941
510 0.486275 0.670588
511 0.485323 0.671233
512 0.486328 0.671875
513 0.485380 0.672515
514 0.486381 0.673152
515 0.485437 0.673786
516 0.484496 0.674419
517 0.483559 0.675048
518 0.482625 0.673745
519 0.481696 0.674374
520 0.482692 0.673077
521 0.483685 0.673704
522 0.482759 0.674330
523 0.481836 0.673040
524 0.480916 0.673664
525 0.481905 0.674286
526 0.480989 0.673004
527 0.480076 0.671727
528 0.481061 0.672348
529 0.482042 0.671078
530 0.483019 0.669811
531 0.482109 0.670433
532 0.481203 0.669173
533 0.482176 0.669794
534 0.481273 0.670412
535 0.482243 0.671028
536 0.483209 0.671642
537 0.482309 0.670391
538 0.481413 0.669145
539 0.480519 0.667904
540 0.479630 0.668519
541 0.478743 0.669131
542 0.477860 0.669742
543 0.478821 0.670350
544 0.477941 0.670956
545 0.478899 0.671560
546 0.478022 0.672161
547 0.477148 0.672761
548 0.478102 0.673358
549 0.479053 0.673953
550 0.480000 0.674545
551 0.480944 0.675136
552 0.481884 0.675725
553 0.481013 0.674503
554 0.481949 0.673285
555 0.481081 0.672072
556 0.480216 0.670863
557 0.481149 0.669659
558 0.480287 0.668459
559 0.481216 0.669052
560 0.480357 0.669643
561 0.481283 0.670232
562 0.482206 0.669039
563 0.481350 0.667851
564 0.482270 0.668440
565 0.483186 0.669027
566 0.484099 0.669611
567 0.483245 0.670194
568 0.484155 0.670775
569 0.485062 0.669596
570 0.485965 0.670175
571 0.486865 0.670753
572 0.487762 0.669580
573 0.488656 0.668412
574 0.489547 0.668990
575 0.488696 0.669565
576 0.487847 0.670139
577 0.487002 0.670711
578 0.486159 0.669550
579 0.487047 0.670121
580 0.486207 0.670690
581 0.487091 0.671256
582 0.486254 0.670103
583 0.485420 0.670669
584 0.484589 0.669521
585 0.483761 0.668376
586 0.484642 0.667235
587 0.483816 0.667802
588 0.484694 0.666667
589 0.483871 0.665535
590 0.483051 0.664407
591 0.482234 0.663283
592 0.481419 0.662162
593 0.482293 0.662732
594 0.483165 0.663300
595 0.482353 0.663866
596 0.483221 0.664430
597 0.484087 0.664992
598 0.484950 0.665552
599 0.485810 0.666110
600 0.485000 0.665000
601 0.484193 0.665557
602 0.485050 0.666113
603 0.485904 0.665008
604 0.485099 0.663907
605 0.485950 0.662810
606 0.486799 0.661716
607 0.485997 0.662273
608 0.485197 0.662829
609 0.486043 0.663383
610 0.485246 0.663934
611 0.484452 0.662848
612 0.485294 0.663399
613 0.486134 0.663948
614 0.485342 0.664495
615 0.486179 0.665041
616 0.487013 0.665584
617 0.487844 0.664506
618 0.487055 0.665049
619 0.487884 0.665590
620 0.487097 0.666129
621 0.487923 0.666667
622 0.487138 0.667203
623 0.487961 0.666132
624 0.488782 0.666667
625 0.488000 0.665600
626 0.488818 0.666134
627 0.488038 0.666667
628 0.487261 0.667197
629 0.488076 0.667727
630 0.488889 0.666667
631 0.488114 0.667195
632 0.487342 0.667722
633 0.486572 0.666667
634 0.485804 0.665615
635 0.486614 0.666142
636 0.485849 0.666667
637 0.485086 0.665620
638 0.485893 0.666144
639 0.486698 0.666667
640 0.487500 0.667188
641 0.486739 0.666147
642 0.487539 0.665109
643 0.486781 0.665630
644 0.486025 0.666149
645 0.486822 0.666667
646 0.487616 0.667183
647 0.486862 0.666151
648 0.487654 0.666667
649 0.486903 0.667180
650 0.487692 0.666154
651 0.488479 0.666667
652 0.487730 0.665644
653 0.488515 0.666156
654 0.489297 0.666667
655 0.488550 0.667176
656 0.487805 0.666159
657 0.487062 0.666667
658 0.487842 0.667173
659 0.487102 0.666161
660 0.487879 0.666667
661 0.487141 0.665658
662 0.486405 0.664653
663 0.487179 0.665158
664 0.486446 0.664157
665 0.485714 0.664662
666 0.484985 0.665165
667 0.484258 0.664168
668 0.483533 0.664671
669 0.484305 0.665172
670 0.483582 0.665672
671 0.482861 0.664680
672 0.482143 0.665179
673 0.482912 0.665676
674 0.483680 0.664688
675 0.484444 0.663704
676 0.485207 0.662722
677 0.485968 0.663220
678 0.485251 0.663717
679 0.486009 0.662739
680 0.485294 0.663235
681 0.484581 0.663730
682 0.485337 0.664223
683 0.486091 0.664714
684 0.486842 0.663743
685 0.486131 0.664234
686 0.485423 0.664723
687 0.484716 0.665211
688 0.484012 0.665698
689 0.484761 0.666183
690 0.485507 0.666667
691 0.484805 0.667149
692 0.485549 0.666185
693 0.486291 0.666667
694 0.485591 0.667147
695 0.484892 0.667626
696 0.485632 0.666667
697 0.484935 0.667145
698 0.484241 0.667622
699 0.483548 0.666667
700 0.482857 0.665714
701 0.483595 0.666191
702 0.484330 0.665242
703 0.483642 0.665718
704 0.484375 0.664773
705 0.485106 0.665248
706 0.484419 0.665722
707 0.485149 0.666195
708 0.484463 0.665254
709 0.483780 0.665726
710 0.483099 0.666197
711 0.483826 0.666667
712 0.483146 0.667135
713 0.483871 0.667602
714 0.483193 0.668067
715 0.483916 0.667133
716 0.484637 0.667598
717 0.483961 0.668061
718 0.484680 0.668524
719 0.484006 0.668985
720 0.484722 0.669444
721 0.484050 0.668516
722 0.483380 0.667590
723 0.484094 0.668050
724 0.483425 0.668508
725 0.484138 0.667586
726 0.484848 0.668044
727 0.485557 0.668501
728 0.486264 0.667582
729 0.485597 0.668038
730 0.484932 0.667123
731 0.485636 0.666211
732 0.484973 0.666667
733 0.484311 0.667121
734 0.485014 0.667575
735 0.485714 0.666667
736 0.485054 0.665761
737 0.484396 0.664858
738 0.485095 0.663957
739 0.485792 0.663058
740 0.486486 0.663514
741 0.485830 0.663968
742 0.486523 0.664420
743 0.485868 0.663526
744 0.485215 0.663978
745 0.484564 0.664430
746 0.485255 0.664879
747 0.485944 0.663989
748 0.485294 0.664439
749 0.484646 0.664887
750 0.484000 0.665333
751 0.484687 0.665779
752 0.485372 0.666223
753 0.486056 0.666667
754 0.485411 0.667109
755 0.486093 0.666225
756 0.485450 0.665344
757 0.484808 0.664465
758 0.484169 0.663588
759 0.484848 0.662714
760 0.484211 0.661842
761 0.484888 0.662286
762 0.485564 0.661417
763 0.484928 0.660550
764 0.485602 0.660995
765 0.484967 0.661438
766 0.485640 0.661880
767 0.486310 0.662321
768 0.485677 0.662760
769 0.485046 0.663199
770 0.485714 0.663636
771 0.485084 0.662776
772 0.485751 0.663212
773 0.485123 0.663648
774 0.485788 0.664083
775 0.486452 0.664516
776 0.487113 0.664948
777 0.486486 0.665380
778 0.485861 0.665810
779 0.485237 0.666239
780 0.485897 0.666667
781 0.486556 0.665813
782 0.485934 0.666240
783 0.485313 0.666667
784 0.485969 0.667092
785 0.485350 0.666242
786 0.484733 0.666667
787 0.485388 0.665820
788 0.484772 0.664975
789 0.484157 0.665399
790 0.483544 0.665823
791 0.482933 0.666245
792 0.482323 0.666667
793 0.482976 0.667087
794 0.482368 0.667506
795 0.481761 0.666667
796 0.481156 0.667085
797 0.481807 0.667503
798 0.482456 0.666667
799 0.481852 0.667084
800 0.482500 0.667500
801 0.481898 0.667915
802 0.481297 0.668329
803 0.480697 0.668742
804 0.480100 0.667910
805 0.480745 0.667081
806 0.480149 0.667494
807 0.480793 0.667906
808 0.481436 0.668317
809 0.482077 0.668727
810 0.482716 0.667901
811 0.483354 0.668311
812 0.483990 0.668719
813 0.484625 0.669127
814 0.485258 0.668305
815 0.484663 0.667485
816 0.484069 0.667892
817 0.484700 0.668299
818 0.484108 0.668704
819 0.484737 0.669109
820 0.485366 0.669512
821 0.485993 0.669915
822 0.486618 0.670316
823 0.486027 0.669502
824 0.485437 0.669903
825 0.486061 0.670303
826 0.485472 0.670702
827 0.486094 0.671100
828 0.486715 0.670290
829 0.486128 0.670688
830 0.485542 0.671084
831 0.486161 0.671480
832 0.485577 0.671875
833 0.486194 0.671068
834 0.485612 0.671463
835 0.486228 0.671856
836 0.485646 0.671053
837 0.486260 0.670251
838 0.486874 0.670644
839 0.486293 0.671037
840 0.485714 0.671429
841 0.486326 0.671819
842 0.486936 0.671021
843 0.487544 0.671412
844 0.486967 0.670616
845 0.487574 0.671006
846 0.486998 0.671395
847 0.486423 0.670602
848 0.485849 0.670991
849 0.485277 0.670200
850 0.484706 0.669412
851 0.485311 0.669800
852 0.485915 0.670188
853 0.485346 0.670574
854 0.485948 0.670960
855 0.485380 0.671345
856 0.485981 0.671729
857 0.485414 0.670945
858 0.484848 0.670163
859 0.485448 0.670547
860 0.484884 0.670930
861 0.484321 0.671312
862 0.483759 0.671694
863 0.484357 0.672074
864 0.483796 0.672454
865 0.484393 0.671676
866 0.483834 0.672055
867 0.483276 0.671280
868 0.482719 0.671659
869 0.482163 0.672037
870 0.482759 0.672414
871 0.482204 0.672790
872 0.482798 0.672018
873 0.482245 0.671249
874 0.482838 0.671625
875 0.482286 0.672000
876 0.482877 0.672374
877 0.483466 0.671608
878 0.482916 0.671982
879 0.482366 0.672355
880 0.481818 0.671591
881 0.482406 0.670829
882 0.481859 0.670068
883 0.482446 0.670442
884 0.481900 0.670814
885 0.481356 0.670056
886 0.481941 0.670429
887 0.482525 0.670800
888 0.483108 0.671171
889 0.482565 0.671541
890 0.483146 0.670787
891 0.482604 0.671156
892 0.482063 0.671525
893 0.481523 0.670773
894 0.480984 0.671141
895 0.480447 0.670391
896 0.481027 0.670759
897 0.480491 0.671126
898 0.481069 0.671492
899 0.480534 0.671858
900 0.481111 0.671111
901 0.481687 0.670366
902 0.482262 0.670732
903 0.481728 0.671096
904 0.482301 0.671460
905 0.482873 0.671823
906 0.482340 0.672185
907 0.481808 0.672547
908 0.482379 0.672907
909 0.482948 0.672167
910 0.483516 0.672527
911 0.482986 0.671789
912 0.482456 0.672149
913 0.483023 0.672508
914 0.482495 0.672867
915 0.483060 0.673224
916 0.483624 0.673581
917 0.484188 0.673937
918 0.483660 0.674292
919 0.484222 0.673558
920 0.484783 0.673913
921 0.485342 0.674267
922 0.484816 0.674620
923 0.485374 0.673889
924 0.484848 0.673160
925 0.484324 0.673514
926 0.483801 0.673866
927 0.484358 0.674218
928 0.484914 0.673491
929 0.485468 0.673843
930 0.486022 0.673118
931 0.486574 0.673469
932 0.487124 0.673820
933 0.487674 0.674169
934 0.488223 0.674518
935 0.487701 0.673797
936 0.487179 0.674145
937 0.487727 0.674493
938 0.488273 0.674840
939 0.488818 0.674121
940 0.488298 0.674468
941 0.487779 0.673751
942 0.488323 0.673036
943 0.488865 0.672322
944 0.488347 0.672669
945 0.487831 0.673016
946 0.487315 0.673362
947 0.487856 0.672650
948 0.488397 0.671941
949 0.487882 0.671233
950 0.487368 0.671579
951 0.486856 0.671924
952 0.486345 0.672269
953 0.485834 0.671563
954 0.486373 0.671908
955 0.486911 0.672251
956 0.486402 0.672594
957 0.485893 0.672936
958 0.485386 0.672234
959 0.484880 0.672576
960 0.484375 0.671875
961 0.484912 0.672216
962 0.484407 0.671518
963 0.484943 0.670820
964 0.485477 0.671162
965 0.484974 0.671503
966 0.485507 0.671843
967 0.485005 0.672182
968 0.484504 0.672521
969 0.484004 0.672859
970 0.484536 0.673196
971 0.484037 0.672503
972 0.483539 0.671811
973 0.484070 0.671120
974 0.484600 0.670431
975 0.484103 0.670769
976 0.484631 0.671107
977 0.485159 0.671443
978 0.485685 0.670757
979 0.485189 0.670072
980 0.484694 0.670408
981 0.485219 0.670744
982 0.485743 0.671079
983 0.486267 0.671414
984 0.485772 0.671748
985 0.485279 0.671066
986 0.484787 0.671400
987 0.485309 0.670719
988 0.484818 0.670040
989 0.485339 0.670374
990 0.485859 0.670707
991 0.486377 0.671039
992 0.486895 0.671371
993 0.486405 0.671702
994 0.486922 0.672032
995 0.487437 0.671357
996 0.487952 0.671687
997 0.487462 0.672016
998 0.486974 0.672345
999 0.486486 0.671672
1000 0.486000 0.672000
1001 0.486513 0.672328
1002 0.487026 0.672655
1003 0.486540 0.672981
1004 0.486056 0.673307
1005 0.485572 0.673632
1006 0.485089 0.673956
1007 0.485601 0.673287
1008 0.485119 0.672619
1009 0.485629 0.672944
1010 0.486139 0.673267
1011 0.485658 0.673591
1012 0.485178 0.673913
1013 0.484699 0.674235
1014 0.484221 0.674556
1015 0.484729 0.674877
1016 0.485236 0.675197
1017 0.485742 0.674533
1018 0.485265 0.674853
1019 0.485770 0.674190
1020 0.485294 0.673529
1021 0.485798 0.672870
1022 0.485323 0.673190
1023 0.484848 0.673509
1024 0.485352 0.673828
1025 0.485854 0.674146
1026 0.486355 0.674464
1027 0.485881 0.673807
1028 0.486381 0.674125
1029 0.485909 0.674441
1030 0.485437 0.674757
1031 0.484966 0.675073
1032 0.485465 0.675388
1033 0.485963 0.675702
1034 0.486460 0.676015
1035 0.486957 0.676329
1036 0.486486 0.676641
1037 0.486982 0.676953
1038 0.486513 0.676301
1039 0.486044 0.676612
1040 0.485577 0.676923
1041 0.485110 0.677233
1042 0.485605 0.677543
1043 0.485139 0.676894
1044 0.485632 0.677203
1045 0.486124 0.676555
1046 0.485660 0.675908
1047 0.485196 0.675263
1048 0.485687 0.674618
1049 0.486177 0.674929
1050 0.486667 0.674286
1051 0.487155 0.674596
1052 0.486692 0.673954
1053 0.487179 0.674264
1054 0.486717 0.674573
1055 0.487204 0.674882
1056 0.487689 0.675189
1057 0.487228 0.675497
1058 0.486767 0.674858
1059 0.486308 0.675165
1060 0.485849 0.675472
1061 0.486334 0.674835
1062 0.485876 0.675141
1063 0.485419 0.675447
1064 0.485902 0.675752
1065 0.485446 0.675117
1066 0.484991 0.674484
1067 0.485473 0.673852
1068 0.485019 0.674157
1069 0.485500 0.673527
1070 0.485981 0.673832
1071 0.485528 0.673203
1072 0.485075 0.673507
1073 0.484623 0.672880
1074 0.485102 0.673184
1075 0.485581 0.672558
1076 0.485130 0.672862
1077 0.484680 0.673166
1078 0.485158 0.673469
1079 0.484708 0.673772
1080 0.485185 0.674074
1081 0.485661 0.673451
1082 0.485213 0.673752
1083 0.484765 0.673130
1084 0.484317 0.673432
1085 0.484793 0.672811
1086 0.485267 0.673112
1087 0.484821 0.672493
1088 0.485294 0.671875
1089 0.485767 0.671258
1090 0.485321 0.670642
1091 0.485793 0.670944
1092 0.486264 0.671245
1093 0.486734 0.670631
1094 0.486289 0.670932
1095 0.486758 0.670320
1096 0.486314 0.669708
1097 0.485871 0.670009
1098 0.485428 0.670310
1099 0.485896 0.670610
1100 0.485455 0.670909
1101 0.485922 0.670300
1102 0.485481 0.670599
1103 0.485041 0.669991
1104 0.485507 0.670290
1105 0.485068 0.670588
1106 0.485533 0.669982
1107 0.485998 0.670280
1108 0.485560 0.669675
1109 0.486023 0.669071
1110 0.485586 0.669369
1111 0.485149 0.668767
1112 0.484712 0.669065
1113 0.484277 0.669362
1114 0.483842 0.668761
1115 0.483408 0.669058
1116 0.482975 0.669355
1117 0.483438 0.669651
1118 0.483900 0.669946
1119 0.483467 0.670241
1120 0.483929 0.670536
1121 0.484389 0.670830
1122 0.483957 0.670232
1123 0.483526 0.670525
1124 0.483986 0.670819
1125 0.483556 0.670222
1126 0.484014 0.670515
1127 0.484472 0.669920
1128 0.484929 0.669326
1129 0.485385 0.669619
1130 0.485841 0.669912
1131 0.485411 0.670203
1132 0.484982 0.670495
1133 0.485437 0.670786
1134 0.485009 0.670194
1135 0.484581 0.670485
1136 0.484155 0.670775
1137 0.484609 0.670185
1138 0.485062 0.670475
1139 0.484636 0.669886
1140 0.484211 0.670175
1141 0.484663 0.669588
1142 0.485114 0.669002
1143 0.485564 0.669291
1144 0.485140 0.669580
1145 0.484716 0.668996
1146 0.485166 0.668412
1147 0.484743 0.667829
1148 0.485192 0.668118
1149 0.485640 0.668407
1150 0.485217 0.668696
1151 0.485665 0.668115
1152 0.485243 0.668403
